url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
https://www.cheese.com/aarewasser/,cow,Switzerland,NA,NA,semi-soft,NA,NA,buttery,washed,yellow,sweet,buttery,FALSE,FALSE,NA,NA,Jumi
https://www.cheese.com/abbaye-de-belloc/,sheep,France,Pays Basque,NA,"semi-hard, artisan",NA,NA,"creamy, dense, firm",natural,yellow,burnt caramel,lanoline,TRUE,FALSE,Abbaye Notre-Dame de Belloc,NA,NA
https://www.cheese.com/abondance/,cow,France,NA,NA,"semi-hard, artisan",NA,NA,creamy,natural,pale yellow,nutty,"buttery, fruity",FALSE,FALSE,Tomme d'Abondance,NA,NA
https://www.cheese.com/abbaye-de-citeaux/,cow,France,Burgundy,NA,"semi-soft, artisan, brined",NA,NA,"creamy, dense, smooth",washed,white,"acidic, milky, smooth","barnyardy, earthy",FALSE,FALSE,NA,NA,NA
https://www.cheese.com/tamie/,cow,France,Savoie,NA,"soft, artisan",NA,NA,"creamy, open, smooth",washed,white,"fruity, nutty","perfumed, pungent",FALSE,FALSE,NA,"Tami√©, Trappiste de Tamie, Abbey of Tamie",NA
https://www.cheese.com/abbaye-du-mont-des-cats/,cow,France,Nord-Pas-de-Calais,NA,"semi-soft, artisan, brined",50%,NA,"smooth, supple",washed,pale yellow,"milky, salty",floral,FALSE,FALSE,NA,NA,Abbaye du Mont des Cats
https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",NA,NA,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,NA,"Akkawi , Akawieh, Akawi",NA
https://www.cheese.com/abbaye-de-timadeuc/,cow,France,province of Brittany,NA,semi-hard,NA,NA,soft,washed,pale yellow,"salty, smooth",nutty,FALSE,FALSE,NA,NA,Abbaye Cistercienne NOTRE-DAME DE TIMADEUC
https://www.cheese.com/adelost/,cow,Sweden,NA,Blue,"semi-soft, blue-veined",50%,NA,creamy,natural,blue,"salty, sharp, tangy",strong,NA,NA,NA,NA,NA
https://www.cheese.com/affineur-walo-rotwein-sennechas/,cow,Switzerland,NA,Swiss Cheese,"hard, artisan",NA,NA,smooth,washed,cream,"creamy, pronounced, spicy","rich, strong",FALSE,FALSE,Affineur Walo Red Wine Farmer,NA,Walo von M√ºhlenen AG
https://www.cheese.com/afuegal-pitu/,cow,Spain,Asturias,NA,"soft, artisan",NA,NA,smooth,cloth wrapped,NA,"spicy, strong",NA,FALSE,FALSE,NA,NA,NA
https://www.cheese.com/aged-british-cheddar/,cow,United States,NY,Cheddar,"hard, artisan",NA,NA,"crumbly, crystalline, flaky",natural,pale yellow,"sharp, tangy","nutty, sweet",NA,NA,NA,NA,Muranda Cheese Company
https://www.cheese.com/aged-gouda/,"cow, goat, sheep",Netherlands,NA,Gouda,hard,NA,NA,"crumbly, crystalline, dense",waxed,yellow,NA,rich,NA,NA,Oud Gouda,NA,NA
https://www.cheese.com/aged-cheddar/,cow,United States,NA,NA,hard,NA,NA,"buttery, creamy, crumbly",rindless,golden yellow,"creamy, earthy, nutty","earthy, nutty",TRUE,FALSE,NA,NA,"Maple Grove Cheese, INC."
https://www.cheese.com/alex-james-co-no-1-cheddar/,cow,United Kingdom,NA,NA,hard,NA,NA,"creamy, crumbly",NA,yellow,sweet,NA,NA,NA,NA,NA,NA
https://www.cheese.com/aisy-cendre/,cow,France,Burgundy,NA,"semi-soft, smear-ripened",50%,NA,"creamy, smooth",washed,white,"full-flavored, herbaceous, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,"Cendre d'Aisy, Ashen Aisy",NA,NA
https://www.cheese.com/alex-james-co-no-2-blue-monday/,cow,United Kingdom,NA,NA,semi-soft,NA,NA,"creamy, semi firm",NA,blue,NA,"spicy, sweet",NA,NA,NA,NA,NA
https://www.cheese.com/alex-james-co-no-3-valley-brie/,cow,United Kingdom,NA,NA,"soft, semi-soft",NA,NA,"buttery, creamy, semi firm, smooth, soft",NA,pale white,NA,NA,NA,NA,NA,NA,NA
https://www.cheese.com/alex-james-co-no-4-goats/,goat,United Kingdom,NA,NA,fresh soft,NA,NA,"smooth, springy",NA,pale white,NA,NA,NA,NA,NA,NA,NA
https://www.cheese.com/alisia-victoria/,cow,Switzerland,NA,NA,firm,NA,NA,smooth,natural,golden yellow,buttery,nutty,NA,NA,NA,NA,Eyeweid
https://www.cheese.com/alex-james-co-no-5-grunge/,cow,United Kingdom,NA,NA,"soft, semi-soft, organic",NA,NA,"creamy, soft",washed,orange,NA,NA,NA,NA,NA,NA,NA
https://www.cheese.com/allgauer-emmentaler/,cow,Germany,Swabia,NA,hard,45%,NA,firm,natural,yellow,nutty,pungent,FALSE,FALSE,NA,NA,NA
https://www.cheese.com/alpkase/,cow,Switzerland,NA,NA,hard,NA,NA,dense,natural,golden yellow,herbaceous,rich,FALSE,FALSE,Alpkase,NA,Jumi
https://www.cheese.com/amarelo-de-beira-baixa/,"goat, sheep",Portugal,Beira Baixa Province,NA,"semi-firm, artisan",45-60%,NA,,NA,yellow,acidic,NA,FALSE,FALSE,"Amarelo da Beira Baixa Cheese (DOP), Queijo amarelo da Beira Baixa",NA,NA
https://www.cheese.com/alpha-tolman/,cow,United States,"Greensboro, VT",Swiss Cheese,"semi-hard, artisan",NA,NA,"dense, elastic, smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",NA,NA,NA,NA,Jasper Hill Farm
https://www.cheese.com/ami-du-chambertin/,cow,France,"Gevrey-Chambertin, Burgundy",NA,"semi-soft, artisan, brined",45%,NA,smooth,washed,white,"buttery, sharp",NA,FALSE,FALSE,L'Ami du Chambertin,NA,NA
https://www.cheese.com/amul-cheese-spread/,cow,India,Gujarat,NA,"soft, processed",NA,NA,"creamy, spreadable",NA,NA,"creamy, salty, savory, spicy",NA,TRUE,FALSE,NA,NA,Gujarat Cooperative Milk Marketing Federation (Amul)
https://www.cheese.com/american-cheese/,cow,United States,NA,NA,"semi-soft, processed",NA,NA,smooth,rindless,yellow,NA,mild,FALSE,FALSE,NA,NA,NA
https://www.cheese.com/amul-processed-cheese/,"cow, water buffalo",India,Gujarat,Cheddar,"hard, processed",26%,343 mg/100g,"crumbly, dense",artificial,yellow,"buttery, creamy, salty",NA,TRUE,FALSE,NA,NA,Gujarat Cooperative Milk Marketing Federation (Amul)
https://www.cheese.com/anari/,"goat, sheep",Cyprus,island wide,Cottage,"fresh soft, hard, artisan",8%,NA,"brittle, creamy, flaky",natural,white,"creamy, mild, salty",NA,NA,NA,"Dry Anari, Fresh Anari",NA,NA
https://www.cheese.com/anejo-enchilado/,"cow, goat",Mexico,NA,NA,semi-hard,NA,NA,"crumbly, firm",NA,white,"salty, sharp, spicy, strong",strong,FALSE,FALSE,"Queso A√±ejo, A√±ejo",NA,NA
https://www.cheese.com/anster/,cow,Scotland,Fife,NA,"semi-hard, artisan",NA,NA,"crumbly, dry",NA,ivory,milky,"milky, rich",NA,NA,NA,NA,St Andrews Farmhouse Cheese Company
https://www.cheese.com/anthotyro/,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",NA,"hard, whey",30%,318 mg/100g,crumbly,natural,white,"salty, tangy",strong,NA,NA,"Anthotyro Fresco, Anthotyro","Anthotiro, Antotiro",NA
https://www.cheese.com/appenzeller/,cow,Switzerland,NA,NA,"hard, artisan",NA,NA,firm,washed,NA,"fruity, nutty",strong,NA,NA,NA,"Appenzeller Classic, Appenzeller Surchoix, Appenzeller Extra",NA
https://www.cheese.com/applewood/,cow,"England, Great Britain, United Kingdom",Somerset,Cheddar,semi-hard,NA,NA,"crumbly, dense",natural,yellow,"smokey , spicy",smokey,TRUE,FALSE,Applewood smoked cheddar,NA,Ilchester Cheese Company
https://www.cheese.com/ardrahan/,cow,Ireland,Duhallow,NA,"semi-soft, brined",25%,NA,"chalky, smooth",washed,yellow,"acidic, buttery, nutty","earthy, pungent",TRUE,FALSE,NA,NA,Ardrahan Dairy Products Ltd.
https://www.cheese.com/ardi-gasna/,sheep,France,Midi-Pyr√©n√©es,NA,"hard, artisan",45%,NA,"firm, supple",washed,pale yellow,"mild, nutty, sharp",fresh,FALSE,FALSE,NA,NA,NA
https://www.cheese.com/appalachian/,cow,United States,Virginia,Tomme,"semi-soft, artisan",NA,NA,firm,mold ripened,white,"buttery, lemony, mushroomy","earthy, grassy, lactic",NA,NA,NA,NA,Meadow Creek Dairy
https://www.cheese.com/armenian-string-cheese/,"cow, goat, sheep",Armenia,NA,NA,semi-soft,NA,NA,"creamy, smooth, springy",NA,white,mild,NA,NA,NA,"Syrian String Cheese, Chechil",NA,NA
https://www.cheese.com/asiago/,cow,Italy,"Veneto, Trentino",NA,hard,34-48%,NA,"compact, crumbly, open, smooth",natural,yellow,"full-flavored, milky, sharp",pungent,FALSE,FALSE,NA,NA,NA
https://www.cheese.com/asiago-pressato/,cow,Italy,Veneto,NA,semi-soft,48%,NA,"creamy, smooth",natural,white,"nutty, sweet",fresh,FALSE,FALSE,"Asiago Fresco, Asiago Fresco DOP Mitica¬Æ",Pressato,NA
https://www.cheese.com/asiago-dallevo/,cow,Italy,Veneto,NA,hard,34%,NA,compact,natural,pale yellow,savory,"pleasant, yeasty",FALSE,FALSE,"Asiago Aged, Asiago D‚ÄôAllevo DOP Mitica¬Æ, Asiago Mezzano",NA,NA
https://www.cheese.com/ashley/,cow,United States,Colorado,NA,"soft, artisan, soft-ripened",NA,NA,"creamy, soft",ash coated,cream,sweet,NA,NA,NA,MouCo Ashley,NA,MouCo Cheese Company
https://www.cheese.com/auld-lochnagar/,cow,Scotland,NA,NA,hard,NA,NA,"compact, crumbly",natural,orange,"grassy, mellow, subtle, tangy",mild,NA,NA,NA,NA,The Cambus O‚ÄôMay Cheese Company
https://www.cheese.com/aura/,cow,Finland,√Ñ√§nekoski,Blue,"semi-soft, blue-veined",NA,NA,creamy,mold ripened,pale yellow,"salty, sharp, strong, tangy",NA,FALSE,FALSE,Auro Gold,NA,Valio
https://www.cheese.com/azeitao/,sheep,Portugal,"Setubal, Palmela and Sesimbra",NA,"semi-soft, artisan",NA,NA,"creamy, supple",washed,pale yellow,"herbaceous, salty, sour",NA,TRUE,FALSE,Queijo de Azeitao,NA,NA
https://www.cheese.com/baby-brie/,cow,France,NA,Brie,soft,NA,NA,creamy,bloomy,cream,"creamy, mild",aromatic,FALSE,FALSE,"Petit Brie, Mini Brie",NA,NA
https://www.cheese.com/babybel/,cow,France,NA,NA,semi-hard,NA,NA,smooth,waxed,NA,NA,NA,NA,NA,NA,NA,NA
https://www.cheese.com/baladi/,"cow, goat, sheep","Lebanon, Middle East",NA,NA,"fresh soft, artisan",22%,NA,"creamy, dense, smooth",rindless,white,"buttery, mild, salty, sweet",fresh,FALSE,FALSE,"Jibneh Khadra, Jibnah Baladi, Baladieh, Jibneh Baladi",NA,NA
https://www.cheese.com/baby-swiss/,cow,United States,"Charm, Ohio",Swiss Cheese,"semi-soft, processed",43%,NA,"creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet",NA,FALSE,FALSE,Lacy cheese,NA,Guggisberg Cheese
https://www.cheese.com/bandal/,cow,India,West Bengal,Cottage,"semi-soft, artisan",NA,NA,crumbly,rindless,NA,"salty, smokey , strong",strong,TRUE,FALSE,NA,Bandel,NA
https://www.cheese.com/banon/,goat,France,Banon,NA,"soft, artisan",NA,NA,"creamy, smooth",leaf wrapped,white,"fruity, mild",earthy,NA,NA,"Banon √† la feuille, Banon AOC",NA,NA
https://www.cheese.com/barbers-1833/,cow,England,NA,Cheddar,hard,NA,NA,creamy,NA,NA,"sweet, tangy",NA,TRUE,FALSE,NA,NA,AJ & RE Barber Ltd
https://www.cheese.com/barlocco/,cow,Scotland,NA,NA,semi-soft,NA,NA,creamy,natural,blue,full-flavored,strong,TRUE,FALSE,NA,NA,The Ethical Dairy
https://www.cheese.com/baron-bigod/,cow,England,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,NA,"buttery, mushroomy","grassy, milky",NA,NA,NA,NA,Fen Farm Dairy
https://www.cheese.com/baron-bigod-baby-truffle/,cow,England,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",NA,NA,milky,"earthy, mushroom",NA,NA,Baby Truffled Baron,NA,Fen Farm Dairy
https://www.cheese.com/barricato-al-pepe/,cow,Italy,NA,NA,"firm, artisan",NA,NA,crumbly,natural,ivory,NA,"fruity, spicy",NA,NA,NA,NA,NA
https://www.cheese.com/barriquet/,goat,France,NA,NA,soft,NA,NA,"smooth, supple",washed,white,"earthy, full-flavored, meaty, nutty",aromatic,FALSE,FALSE,NA,NA,Pierrick Brendani and Nicolas Trotot
https://www.cheese.com/basajo/,sheep,Italy,NA,Blue,"semi-soft, blue-veined",NA,NA,creamy,NA,NA,sweet,fruity,FALSE,FALSE,NA,NA,NA
https://www.cheese.com/basket-molded-ricotta/,cow,,NA,Cottage,fresh firm,NA,NA,firm,NA,white,"creamy, sweet",fresh,NA,NA,NA,NA,NA
https://www.cheese.com/basket-cheese/,cow,Middle East,NA,Cottage,"soft, semi-soft",NA,NA,"chewy, supple",rindless,white,"mild, salty",milky,TRUE,FALSE,NA,NA,"Specialty Cheese Company, Inc"
https://www.cheese.com/bath-soft/,cow,England,South West England,Brie,soft,NA,NA,creamy,bloomy,ivory,"citrusy, lemony, mushroomy","aromatic, grassy",NA,NA,NA,Bath Soft,The Bath Soft Cheese Co.
https://www.cheese.com/bavaria-blu/,cow,Germany,NA,Blue,"soft, blue-veined",43.3 g/100g,450 mg/100g,"creamy, soft",mold ripened,cream,"creamy, sharp, strong","aromatic, rich",FALSE,FALSE,"Bavaria blu - Tasty Blue, Bavaria blu - Rich & Creamy, Bavaria blu ‚Äì Classic Blue, Bavaria blu ‚Äì Mild & Blue",NA,Bergader Privatk√§serei GmbH
https://www.cheese.com/bavarian-bergkase/,cow,Germany,Allgaeu Alps,NA,"hard, artisan",62%,NA,"crumbly, firm, open",natural,pale yellow,"full-flavored, nutty, spicy","aromatic, rich",FALSE,FALSE,"Allg√§uer Bergk√§se DOP, Allgauer Bergkase",Bawarii Bergk√§se,NA
https://www.cheese.com/bath-blue/,cow,"England, United Kingdom",South West England,Blue,"soft, artisan, blue-veined",NA,NA,"creamy, smooth",natural,cream,creamy,clean,NA,NA,NA,NA,The Bath Soft Cheese Co.
https://www.cheese.com/bath-soft-cheese-truffled/,cow,United Kingdom,NA,Brie,soft,NA,NA,"buttery, soft-ripened",NA,white,NA,NA,NA,NA,NA,NA,The Bath Soft Cheese Co.
https://www.cheese.com/beaufort/,cow,France,NA,NA,semi-firm,NA,NA,"creamy, smooth",NA,pale yellow,NA,"fruity, nutty",FALSE,FALSE,"Beaufort AOP Chalet Alpage Meule, Beaufort AOC",NA,NA
https://www.cheese.com/beauvale/,cow,England,East Midlands,NA,"soft, blue-veined",NA,NA,"creamy, smooth",NA,pale yellow,creamy,NA,FALSE,FALSE,NA,NA,Cropwell Bishop Creamery Limited
https://www.cheese.com/bayley-hazen-blue/,cow,United States,"Greensboro, VT",Blue,"semi-hard, artisan, blue-veined",NA,NA,"creamy, dense, firm",natural,cream,"buttery, grassy, licorice, nutty, tangy","grassy, spicy, strong",FALSE,FALSE,NA,NA,Jasper Hill Farm
https://www.cheese.com/beemster-aged/,cow,Netherlands,NA,Gouda,hard,NA,NA,"crystalline, firm, smooth",natural,yellow,"full-flavored, smooth, spicy, strong",rich,FALSE,FALSE,Beemster Old,NA,CONO Kaasmakers / Beemster
https://www.cheese.com/beemster-classic/,cow,Netherlands,NA,Gouda,semi-hard,NA,NA,"creamy, firm, smooth",natural,yellow,"buttery, nutty","buttery, rich",FALSE,FALSE,NA,NA,Beemster Cheese
https://www.cheese.com/beemster-extra-aged/,cow,Netherlands,NA,Gouda,hard,NA,NA,"brittle, crumbly, grainy",natural,golden yellow,"butterscotch, nutty",aromatic,FALSE,FALSE,"Beemster Extra Old, Beemster X-O, Beemster XO",NA,"Beemster Cheese, CONO Kaasmakers / Beemster"
https://www.cheese.com/beenleigh-blue/,sheep,England,NA,Blue,"soft, blue-veined",NA,NA,smooth,natural,NA,lemony,fresh,TRUE,FALSE,NA,NA,Ticklemore Cheese Dairy
https://www.cheese.com/bel-paese/,cow,Italy,Lombardy,NA,semi-soft,NA,NA,"creamy, smooth",plastic,pale yellow,"buttery, mild, milky, sweet",pleasant,FALSE,FALSE,NA,NA,Galbani
https://www.cheese.com/berkswell/,sheep,United Kingdom,NA,NA,hard,NA,NA,"chewy, firm",natural,pale yellow,NA,sweet,NA,NA,NA,NA,NA
https://www.cheese.com/beyaz-peynir/,"cow, goat, sheep",Turkey,NA,NA,"semi-soft, brined",NA,NA,,NA,pale white,NA,NA,TRUE,FALSE,NA,NA,NA
https://www.cheese.com/bethmale-des-pyrenees/,cow,France,Pyrenees,NA,semi-hard,NA,NA,,natural,brownish yellow,mild,"aromatic, earthy, mushroom",FALSE,FALSE,NA,NA,NA
https://www.cheese.com/bierkase/,cow,Germany,NA,NA,"semi-soft, smear-ripened",NA,NA,smooth,washed,pale yellow,"salty, tangy",strong,NA,NA,"Weisslacker, beer kaese, beer cheese, Whitewash, bierk√§se",NA,NA
https://www.cheese.com/big-rock-blue/,cow,United States,California,Blue,"semi-firm, artisan, blue-veined",NA,NA,"buttery, crumbly",rindless,ivory,"buttery, salty",mild,TRUE,FALSE,NA,NA,Central Coast Creamery
https://www.cheese.com/bix/,cow,United Kingdom,NA,NA,"soft, semi-soft",NA,NA,"buttery, creamy, soft, soft-ripened",NA,pale yellow,NA,NA,NA,NA,NA,NA,NA
https://www.cheese.com/black-bomber-cheddar/,cow,United Kingdom,NA,NA,hard,NA,NA,"buttery, compact, creamy, crumbly",NA,yellow,NA,rich,NA,NA,"Little Black Bomber, Black Bomber",NA,Snowdonia Cheese Company Limited
https://www.cheese.com/blackmount/,goat,Scotland,NA,NA,soft,NA,NA,creamy,ash coated,green,earthy,clean,TRUE,FALSE,NA,NA,Errington Cheese Ltd.
https://www.cheese.com/blaenafon-pwll-ddu/,cow,Wales,NA,NA,hard,NA,NA,compact,NA,cream,savory,NA,NA,NA,NA,NA,NA
https://www.cheese.com/blacksticks-blue/,cow,United Kingdom,NA,Blue,"soft, blue-veined",NA,NA,"creamy, spreadable",NA,orange,"creamy, tangy",NA,TRUE,FALSE,Butlers Blacksticks Blue,NA,Butlers Farmhouse Cheeses
https://www.cheese.com/bleu-benedictin/,cow,Canada,Quebec,Blue,"semi-soft, artisan, blue-veined",NA,NA,"creamy, crumbly, firm",natural,pale yellow,"creamy, salty, woody","mushroom, pleasant",FALSE,FALSE,NA,NA,Fromagerie de l'Abbaye Saint-Beno√Æt
https://www.cheese.com/bleu-dauvergne/,cow,France,Auvergne,Blue,"semi-soft, artisan",NA,NA,"creamy, smooth",NA,ivory,"buttery, creamy, pungent",strong,NA,NA,Bleu d'Auvergne AOC,NA,NA
https://www.cheese.com/bleu-des-causses/,cow,France,NA,Blue,"semi-soft, blue-veined",NA,NA,creamy,NA,NA,"milky, spicy",strong,NA,NA,Bleu Des Causses AOC,NA,NA
https://www.cheese.com/blu-61/,cow,Italy,Veneto,Blue,"soft, blue-veined",NA,NA,"creamy, soft",NA,white,"creamy, pronounced, strong","fruity, rich, sweet",FALSE,FALSE,NA,NA,La Casearia Carpenedo S.r.l.
https://www.cheese.com/vegan-blue/,plant-based,United Kingdom,NA,NA,soft,NA,NA,"creamy, soft-ripened",mold ripened,blue,"creamy, mild, smooth","milky, ripe",TRUE,TRUE,NA,NA,Honestly Tasty
https://www.cheese.com/blue-vein-cheese/,"cow, goat, sheep",,NA,Blue,"semi-soft, blue-veined",NA,NA,creamy,NA,blue,"salty, sharp, tangy","stinky, strong",FALSE,FALSE,"Blue cheese, Bleu cheese, Erborinato, Blue-Vein Cheese",NA,NA
https://www.cheese.com/blue-castello/,cow,Denmark,NA,Blue,soft,NA,NA,"creamy, smooth",washed,blue,buttery,spicy,NA,NA,NA,NA,NA
https://www.cheese.com/blu-di-bufala/,water buffalo,Italy,Lombardy,Blue,"semi-firm, artisan, blue-veined",NA,NA,"creamy, crumbly",natural,cream,"acidic, milky, sweet, tangy","fresh, milky",FALSE,FALSE,NA,NA,NA
https://www.cheese.com/blue-clouds/,cow,United Kingdom,NA,NA,semi-soft,NA,NA,creamy,NA,blue,NA,NA,TRUE,FALSE,NA,NA,NA
https://www.cheese.com/blue-vein-australian/,cow,Australia,NA,Blue,"semi-soft, blue-veined",NA,NA,"creamy, dense",natural,blue,"salty, sharp","stinky, strong",NA,NA,NA,NA,NA
https://www.cheese.com/bluebell/,cow,Scotland,NA,NA,semi-soft,NA,NA,soft,natural,blue-grey,sweet,mushroom,TRUE,FALSE,NA,NA,The Ethical Dairy
https://www.cheese.com/boeren-leidse-met-sleutels/,cow,Netherlands,Leiden,Gouda,"hard, artisan",30-40%,NA,"crumbly, firm",waxed,yellow,"fruity, spicy","aromatic, rich",FALSE,FALSE,"Farmers Leiden, Leidse kaas, Leyden cheese, Boeren-Leidse kaas, Boeren-Leidse, cumin cheese, Leyden, Boeren-Leidse met sleutels, Boeren Leidenkaas",NA,NA
https://www.cheese.com/bocconcini/,"cow, goat, water buffalo",Italy,NA,Mozzarella,"semi-soft, brined",NA,NA,creamy,rindless,white,"buttery, mild, sweet",NA,NA,NA,"bocconcino di bufala campana, bocconcini alla panna di bufala, Bocconcino Di Langa",NA,La Casa Del Formaggio
https://www.cheese.com/blythedale-camembert/,cow,United States,Vermont,Camembert,"soft, artisan",NA,NA,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,TRUE,FALSE,Camembert Vermont,NA,Blythedale Farm Cheeses
https://www.cheese.com/bosworth/,goat,United Kingdom,NA,NA,"soft, artisan",NA,NA,crumbly,mold ripened,white,"mild, salty, sweet",goaty,NA,NA,"Bosworth Leaf, Bosworth Ash Log",NA,Highfields Farm Dairy
https://www.cheese.com/bouncing-berry/,cow,United Kingdom,NA,NA,hard,NA,NA,creamy,waxed,pale yellow,fruity,NA,NA,NA,NA,NA,NA
https://www.cheese.com/boulette-davesnes/,cow,France,Avesnes,NA,fresh soft,45%,NA,"creamy, smooth",washed,NA,spicy,stinky,TRUE,FALSE,NA,NA,NA
https://www.cheese.com/boursault/,cow,France,NA,Brie,"soft, soft-ripened",NA,NA,"creamy, spreadable",bloomy,NA,buttery,NA,NA,NA,NA,NA,NA
https://www.cheese.com/boursin/,cow,France,Croisy-sur-Eure,NA,"soft, processed",60%,NA,"creamy, crumbly, spreadable",rindless,white,"buttery, full-flavored, herbaceous, smooth","fresh, strong",TRUE,FALSE,Gournay cheese,NA,Boursin Bel UK Ltd
https://www.cheese.com/bouyguette/,goat,France,NA,NA,fresh soft,NA,NA,"creamy, crumbly, soft",edible,white,"lemony, milky, smooth","floral, fresh, goaty, grassy",FALSE,FALSE,NA,NA,NA
https://www.cheese.com/boyne-valley-ban/,goat,Ireland,NA,NA,hard,NA,NA,"creamy, crumbly",natural,ivory,"earthy, full-flavored, garlicky, grassy, lemony, mushroomy, umami","barnyardy, buttery, earthy, goaty, musty",TRUE,FALSE,Boyne Valley Ban,NA,Boyne Valley Cheese
https://www.cheese.com/bra/,cow,Italy,Piedmont,NA,hard,35%,NA,firm,natural,pale yellow,"salty, savory",NA,FALSE,FALSE,Bra Duro DOP,NA,NA
https://www.cheese.com/brebirousse-dargental/,sheep,France,NA,Brie,soft,NA,NA,"creamy, smooth",washed,orange,"creamy, sweet","grassy, milky",TRUE,FALSE,NA,NA,NA
https://www.cheese.com/brefu-bach/,sheep,Wales,NA,NA,soft,NA,NA,soft,NA,golden yellow,NA,NA,NA,NA,NA,NA,NA
